geonlp_id,entry_id,body,body_kana,hypernym,ne_class,latitude,longitude,県コード,水系コード,河川コード,区間種別
"PXFNeU","383801650001","井ノ口本川",,"愛媛県","河川湖沼/河川","34.26672","133.03558917","38","380165","3801650001","3"
"xTEFWX","383801650002","風呂川",,"愛媛県/井ノ口本川","河川湖沼/河川","34.25663167","133.03036322","38","380165","3801650002","3"
"fPDyF0","383801660001","竹下川",,"愛媛県","河川湖沼/河川","34.28783611","133.02289139","38","380166","3801660001","3"
"XLCrn3","383801670000","北奥川",,"愛媛県","河川湖沼/河川","34.27550889","132.99599917","38","380167","3801670000","0"
"FHBk56","383801670001","高知川",,"愛媛県","河川湖沼/河川","34.27012202","133.00202378","38","380167","3801670001","3"
"nDAcN9","383801680000","長谷川",,"愛媛県/明日本川","河川湖沼/河川","34.25847567","133.00758565","38","380168","3801680000","0"
"5zz5vc","383801680001","明日本川",,"愛媛県","河川湖沼/河川","34.26262444","133.00994944","38","380168","3801680001","3"
"NvxYdf","383801690001","宮浦本川",,"愛媛県","河川湖沼/河川","34.24897639","132.99906056","38","380169","3801690001","3"
"vrwQVi","383801690002","明治川",,"愛媛県/宮浦本川","河川湖沼/河川","34.24800861","133.00426639","38","380169","3801690002","3"
"dnvJDl","383801700000","滝山川",,"愛媛県","河川湖沼/河川","34.23651639","133.01030389","38","380170","3801700000","0"
"VjuClo","383801700001","台本川",,"愛媛県","河川湖沼/河川","34.23091333","133.00917306","38","380170","3801700001","3"
"Dftv3r","383801710001","野々江大川",,"愛媛県","河川湖沼/河川","34.21396361","132.98639111","38","380171","3801710001","3"
"lbsnLu","383801710002","伊倉川",,"愛媛県/野々江大川","河川湖沼/河川","34.21742231","132.99025798","38","380171","3801710002","3"
"37rgtx","383801720001","口総大川",,"愛媛県","河川湖沼/河川","34.21447028","132.9705375","38","380172","3801720001","3"
"L3q9bA","383801730001","大川",,"愛媛県","河川湖沼/河川","34.1702225","133.07125806","38","380173","3801730001","3"
"sZp1TD","383801740001","余所国東川",,"愛媛県","河川湖沼/河川","34.18690299","133.06456465","38","380174","3801740001","3"
"aVnUBG","383801740002","峠川",,"愛媛県/余所国東川","河川湖沼/河川","34.18875468","133.0633665","38","380174","3801740002","4"
"SRmNjJ","383801750001","泊北谷川",,"愛媛県","河川湖沼/河川","34.17513744","133.03082407","38","380175","3801750001","3"
"ANlG1M","383801760001","相田川",,"愛媛県","河川湖沼/河川","34.16797361","133.0402325","38","380176","3801760001","3"
"iJkyJP","383801770001","浜田川",,"愛媛県","河川湖沼/河川","34.16619142","133.04272634","38","380177","3801770001","3"
"0FjrrS","383801780001","北谷川",,"愛媛県","河川湖沼/河川","34.15683528","133.04326667","38","380178","3801780001","3"
"IBik9V","383801790001","仁江川",,"愛媛県","河川湖沼/河川","34.15057394","133.06605292","38","380179","3801790001","3"
"qxhcRY","383801800000","窪向川",,"愛媛県","河川湖沼/河川","34.13485639","133.03559444","38","380180","3801800000","0"
"8tg5A1","383801800001","舫大川",,"愛媛県","河川湖沼/河川","34.13859194","133.03920389","38","380180","3801800001","3"
"QpeYi4","383801800002","新川",,"愛媛県/舫大川","河川湖沼/河川","34.13860185","133.03776383","38","380180","3801800002","3"
"yldR07","383801800003","才崎川",,"愛媛県/舫大川","河川湖沼/河川","34.1299867","133.03800627","38","380180","3801800003","3"
"ghcJIa","383801800004","三反地川",,"愛媛県","河川湖沼/河川","34.13208444","133.04001639","38","380180","3801800004","3"
"YdbCqd","383801830001","畑枝川",,"愛媛県","河川湖沼/河川","33.22589242","132.57728542","38","380183","3801830001","4"
"G9av8g","383801950001","梢川",,"愛媛県","河川湖沼/河川","33.75889278","132.71010194","38","380195","3801950001","4"
"o59nQj","383801970000","村中川",,"愛媛県/三反地川","河川湖沼/河川","33.81348472","132.72383333","38","380197","3801970000","0"
